date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2025-01-02,45.48,44.55,45.7,44.3,348132,1575496086.0,3.08,-2.09,-0.95,0.55,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-03,44.6,43.96,44.77,43.76,273873,1223704155.0,2.27,-1.32,-0.59,0.43,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-06,44.35,44.61,44.71,43.98,301481,1351231040.0,1.66,1.48,0.65,0.47,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-07,44.65,43.64,44.69,43.61,257422,1139218012.0,2.42,-2.17,-0.97,0.4,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-08,43.65,43.15,43.78,42.55,350327,1524946448.0,2.82,-1.12,-0.49,0.55,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-09,43.18,42.68,43.47,42.66,257768,1116825881.0,1.88,-1.09,-0.47,0.4,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-10,42.66,42.27,43.01,42.13,265752,1138717521.0,2.06,-0.96,-0.41,0.42,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-13,42.11,42.41,42.77,42.0,191129,819457430.0,1.82,0.33,0.14,0.3,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-14,42.41,43.89,44.01,42.41,337755,1481294682.0,3.77,3.49,1.48,0.53,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-15,43.86,43.48,43.88,43.26,184965,810779951.0,1.41,-0.93,-0.41,0.29,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-16,43.68,42.5,43.75,42.46,310158,1344908224.0,2.97,-2.25,-0.98,0.49,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-17,42.1,42.44,42.68,42.04,200612,857835007.0,1.51,-0.14,-0.06,0.31,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-20,42.89,44.12,44.96,42.88,558603,2490393185.0,4.9,3.96,1.68,0.88,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-21,44.45,44.73,44.9,44.15,353980,1593272360.0,1.7,1.38,0.61,0.55,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
