model,task,window,horizon,metric,value,fold
base,classification,20,5,trade_penalty,0.002,test_2026
base,classification,20,5,market_filter_min,0.0,test_2026
base,classification,20,5,num_layers,2.0,test_2026
base,classification,20,5,hidden_size,64.0,test_2026
base,classification,20,5,best_epoch,1.0,test_2026
base,classification,20,5,best_valid_loss,0.7210222482681274,test_2026
base,classification,20,5,epochs_trained,11.0,test_2026
fusion,classification,20,5,Accuracy,0.65,test_2026
fusion,classification,20,5,Precision,0.0,test_2026
fusion,classification,20,5,Recall,0.0,test_2026
fusion,classification,20,5,F1-score,0.0,test_2026
fusion,classification,20,5,DirectionHitRate,0.65,test_2026
fusion,classification,20,5,strategy_cum_return,0.0,test_2026
fusion,classification,20,5,buy_hold_cum_return,-0.851063341649027,test_2026
fusion,classification,20,5,max_drawdown,0.0,test_2026
fusion,classification,20,5,trade_count,0.0,test_2026
fusion,classification,20,5,total_transaction_cost,0.0,test_2026
fusion,classification,20,5,threshold,0.55,test_2026
fusion,classification,20,5,sell_threshold,0.3,test_2026
fusion,classification,20,5,valid_risk_adjusted_return_at_threshold,0.0,test_2026
fusion,classification,20,5,valid_trade_count,0.0,test_2026
fusion,classification,20,5,threshold_objective,risk_adjusted_return,test_2026
fusion,classification,20,5,threshold_mode,dual,test_2026
fusion,classification,20,5,min_hold_proba,0.55,test_2026
fusion,classification,20,5,min_valid_trades,5.0,test_2026
fusion,classification,20,5,drawdown_penalty,0.5,test_2026
fusion,classification,20,5,trade_penalty,0.002,test_2026
fusion,classification,20,5,market_filter_min,0.0,test_2026
fusion,classification,20,5,num_layers,2.0,test_2026
fusion,classification,20,5,hidden_size,64.0,test_2026
fusion,classification,20,5,best_epoch,1.0,test_2026
fusion,classification,20,5,best_valid_loss,0.7301021218299866,test_2026
fusion,classification,20,5,epochs_trained,11.0,test_2026
