source,variant,top_k,min_probability,year,periods,total_return,benchmark_total_return,excess_total_return,max_drawdown,win_rate,avg_turnover,avg_selected_count
walk_forward,lightgbm_financial,2,0.0,2024,49,-0.23119714545732017,-0.23229436597272834,0.0010972205154081704,-0.33382729148093526,0.32653061224489793,0.8367346938775511,2.0
walk_forward,lightgbm_financial,5,0.0,2024,49,-0.23580035369318986,-0.23229436597272834,-0.003505987720461512,-0.32894645596113026,0.3469387755102041,0.24489795918367346,5.0
walk_forward,lightgbm_market,3,0.0,2024,49,-0.23664748124703627,-0.23229436597272834,-0.004353115274307928,-0.27561284068558956,0.3673469387755102,0.965986394557823,3.0
walk_forward,lightgbm_financial,3,0.0,2024,49,-0.23987792157290555,-0.23229436597272834,-0.007583555600177205,-0.37159113451744374,0.3469387755102041,0.5170068027210885,3.0
walk_forward,lightgbm_valuation,5,0.0,2024,49,-0.24418341491753093,-0.23229436597272834,-0.011889048944802583,-0.3436037188464345,0.3469387755102041,0.2693877551020408,5.0
walk_forward,lightgbm_valuation,3,0.0,2024,49,-0.2506829622144592,-0.23229436597272834,-0.018388596241730837,-0.31496139542676194,0.3673469387755102,0.5170068027210885,3.0
walk_forward,lightgbm_valuation,2,0.0,2024,49,-0.27342526330007255,-0.23229436597272834,-0.04113089732734421,-0.3554954971511156,0.3877551020408163,0.7142857142857143,2.0
walk_forward,lightgbm_market,5,0.0,2024,49,-0.30680636934655736,-0.23229436597272834,-0.07451200337382902,-0.3122186599128254,0.3877551020408163,0.4653061224489795,5.0
walk_forward,lightgbm_market,1,0.0,2024,49,-0.3371389718423985,-0.23229436597272834,-0.10484460586967015,-0.32453791892456196,0.40816326530612246,1.3877551020408163,1.0
walk_forward,lightgbm_financial,3,0.0,2025,48,0.35906977967800957,0.1471066350962431,0.21196314458176646,-0.1612761536883096,0.5,0.7638888888888888,3.0
walk_forward,lightgbm_valuation,5,0.0,2025,48,0.21623767092626656,0.1471066350962431,0.06913103583002345,-0.12459991046698748,0.6041666666666666,0.5916666666666667,5.0
