date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,hs300_open,hs300_close,hs300_high,hs300_low,hs300_volume,hs300_amount,hs300_amplitude,hs300_pct_change,hs300_change,hs300_turnover,hs300_source,hs300_daily_return,hs300_return_5d,hs300_return_20d,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source,csi_pharma_daily_return,csi_pharma_return_5d,csi_pharma_return_20d,chinext_open,chinext_close,chinext_high,chinext_low,chinext_volume,chinext_amount,chinext_amplitude,chinext_pct_change,chinext_change,chinext_turnover,chinext_source,chinext_daily_return,chinext_return_5d,chinext_return_20d,valuation_close,valuation_pct_change,total_market_cap,float_market_cap,total_shares,float_shares,pe_ttm,pe_static,pb,peg,pcf,ps
2023-06-28,000661,130.5,128.61,131.79,128.31,33330,454757903.0,2.67,-1.44,-1.88,0.83,qfq,stock_zh_a_hist,3836.61,3840.8,3846.85,3808.16,107021541,206187959876.8,1.01,-0.12,-4.63,0.32,index_zh_a_hist,-0.0012040265978056075,-0.022923445207343796,0.0017892820440590373,9326.64,9311.66,9360.67,9255.24,5224159,16479812145.7,1.13,-0.09,-8.21,0.53,index_zh_a_hist,-0.0008809135749748842,-0.03013846445481838,-0.0724486675425865,2184.99,2182.1,2189.02,2160.19,137303945,231871995833.73,1.32,-0.44,-9.73,2.47,index_zh_a_hist,-0.0044392128951606935,-0.03667699697154303,-0.009864599970959897,135.8,-1.365485183033,54952147642.0,54590625906.6,404654990.0,401992827.0,14.24048938,13.27309975,2.90272239,1.27927997,17.39219234,4.42088959
2023-06-29,000661,128.63,128.62,129.59,127.34,26537,360029291.83,1.75,0.01,0.01,0.66,qfq,stock_zh_a_hist,3836.73,3821.84,3840.71,3817.38,98289274,204110031407.8,0.61,-0.49,-18.96,0.3,index_zh_a_hist,-0.004936471568423251,-0.02609422461419275,-0.004145658263305263,9310.4,9310.82,9369.46,9269.75,6090833,19234886304.0,1.07,-0.01,-0.84,0.61,index_zh_a_hist,-9.020947929805345e-05,-0.023514346572585554,-0.0628791935230626,2178.88,2180.06,2194.25,2178.43,128387496,227317774850.81,0.72,-0.09,-2.04,2.31,index_zh_a_hist,-0.0009348792447642085,-0.04022153542717777,-0.017371315243847496,135.81,0.00736377025,54956194191.9,54594645834.87,404654990.0,401992827.0,14.24153802,13.27407715,2.90293614,1.27937417,17.39347306,4.42121514
2023-06-30,000661,128.62,129.11,130.8,128.06,39262,536424775.72,2.13,0.38,0.49,0.98,qfq,stock_zh_a_hist,3816.33,3842.45,3860.03,3813.55,101268429,208146272909.3,1.22,0.54,20.61,0.31,index_zh_a_hist,0.005392690431833769,-0.005584842767784037,0.01155970451805155,9305.0,9395.1,9459.94,9302.24,6582379,20114804685.7,1.69,0.91,84.28,0.66,index_zh_a_hist,0.009051834317493013,0.007229029328867709,-0.04018511613176756,2178.53,2215.0,2227.99,2171.42,132288020,245110734605.16,2.59,1.6,34.94,2.38,index_zh_a_hist,0.01602708182343604,0.0014286747685183787,0.009843120985132847,136.3,0.360798173919,55154475137.0,54791622320.1,404654990.0,401992827.0,14.29292123,13.32196978,2.7772725,1.28399013,17.4562284,4.4371668
2023-07-03,000661,132.81,135.22,139.06,132.81,85496,1226053352.04,4.84,4.73,6.11,2.13,qfq,stock_zh_a_hist,3853.29,3892.88,3897.33,3853.29,133158051,256876520211.7,1.15,1.31,50.43,0.4,index_zh_a_hist,0.013124438834597685,0.021833740189516337,0.022593364102267754,9402.73,9424.7,9438.48,9358.24,6387986,20462130535.3,0.85,0.32,29.6,0.64,index_zh_a_hist,0.0031505784930443426,0.01579298503907567,-0.03578403739537783,2223.33,2228.21,2239.43,2215.36,139754037,252127164640.03,1.09,0.6,13.21,2.51,index_zh_a_hist,0.005963882618510219,0.019192681532304245,0.009871149322661532,142.41,4.48275862069,57626917125.9,57247798493.07,404654990.0,401992827.0,14.93363839,13.91916153,2.90177092,1.34154831,18.23874898,4.63607428
2023-07-04,000661,134.52,137.13,137.77,133.83,45757,655655210.45,2.91,1.41,1.91,1.14,qfq,stock_zh_a_hist,3888.03,3899.01,3899.98,3878.4,109494527,216335611421.8,0.55,0.16,6.13,0.33,index_zh_a_hist,0.0015746696533158744,0.013933422270071327,0.009627559990988743,9400.08,9464.58,9525.32,9321.64,7509740,25775478139.5,2.16,0.42,39.88,0.76,index_zh_a_hist,0.004231434422315772,0.015527040613227294,-0.034931621386823486,2222.33,2232.75,2234.86,2215.77,127163746,232240918579.3,0.86,0.2,4.54,2.29,index_zh_a_hist,0.0020375099294949184,0.01866933110688329,-0.00023284242388965648,144.32,1.341197949582,58399808156.8,58015604792.64,404654990.0,401992827.0,15.13392804,14.10584504,2.94068941,1.35954112,18.48336671,4.69825321
2023-07-05,000661,137.21,137.01,138.4,136.31,31492,455357463.26,1.52,-0.09,-0.12,0.78,qfq,stock_zh_a_hist,3895.19,3868.81,3899.52,3864.13,97636384,188400265050.6,0.91,-0.77,-30.2,0.3,index_zh_a_hist,-0.0077455559231702775,0.007292751510102002,0.006388762437406603,9462.66,9418.4,9487.76,9401.82,6014321,19754468445.0,0.91,-0.49,-46.18,0.61,index_zh_a_hist,-0.004879244509529257,0.011463047405081417,-0.03774577665166512,2235.2,2212.42,2239.93,2209.11,122643238,225268483975.68,1.38,-0.91,-20.33,2.2,index_zh_a_hist,-0.00910536334117118,0.013894871912378148,0.004668186400501373,144.2,-0.083148558758,58351249558.0,57967365653.4,404654990.0,401992827.0,15.1213444,14.09411623,2.93824427,1.35841069,18.46799805,4.69434668
2023-07-06,000661,136.59,134.73,137.41,134.73,23770,339258299.63,1.96,-1.66,-2.28,0.59,qfq,stock_zh_a_hist,3857.03,3842.75,3876.89,3836.46,100121842,184742420862.3,1.05,-0.67,-26.06,0.3,index_zh_a_hist,-0.006735921381510024,0.005471186653549065,0.009083126759379834,9403.31,9273.38,9404.11,9260.25,6067176,17752859813.3,1.53,-1.54,-145.02,0.61,index_zh_a_hist,-0.015397519748577282,-0.004021128106869276,-0.03436390691203839,2206.3,2192.19,2218.39,2190.03,116841922,210388368140.52,1.28,-0.91,-20.23,2.1,index_zh_a_hist,-0.009143833449345107,0.005564067044026455,0.012647761235397237,141.92,-1.581137309293,57428636180.8,57050822007.84,404654990.0,401992827.0,14.88225518,13.8712689,2.89178659,1.33693235,18.17599365,4.62012261
2023-07-07,000661,134.2,134.52,135.81,133.61,16783,238179703.72,1.63,-0.16,-0.21,0.42,qfq,stock_zh_a_hist,3831.6,3825.7,3844.84,3819.08,100906920,173918560673.0,0.67,-0.44,-17.05,0.31,index_zh_a_hist,-0.0044369266801119744,-0.0043591979075849885,0.009595338502219386,9253.2,9263.64,9312.66,9234.79,5007146,15069229754.2,0.84,-0.11,-9.74,0.5,index_zh_a_hist,-0.0010503182226976326,-0.013992400293770246,-0.02173926817677818,2185.73,2169.21,2186.04,2169.21,117053572,211098756135.29,0.77,-1.05,-22.98,2.1,index_zh_a_hist,-0.010482668016914554,-0.020672686230248316,0.01845626555237323,141.71,-0.147970687711,57343658632.9,56966403514.17,404654990.0,401992827.0,14.8602338,13.85074349,2.8875076,1.33495408,18.1490985,4.61328619
2023-07-10,000661,135.81,137.88,141.16,134.81,48214,703638318.65,4.72,2.5,3.36,1.2,qfq,stock_zh_a_hist,3841.56,3844.33,3865.46,3831.92,92033441,185360813110.7,0.88,0.49,18.63,0.28,index_zh_a_hist,0.004869697048906163,-0.012471486405951415,0.006319057429080788,9297.8,9316.42,9398.54,9287.33,5731789,18446618883.3,1.2,0.57,52.78,0.58,index_zh_a_hist,0.005697544377804009,-0.011488959860791348,-0.0103822327217723,2174.33,2198.86,2213.76,2174.33,110736404,198423975002.6,1.82,1.37,29.65,1.99,index_zh_a_hist,0.013668570585605,-0.013172008024378234,0.035264317595435024,145.07,2.371039446757,58703299399.3,58317099412.89,404654990.0,401992827.0,15.21257581,14.17915008,2.95597154,1.36660637,18.57942079,4.72266902
2023-07-11,000661,138.26,137.55,139.8,136.84,20165,292424376.35,2.15,-0.24,-0.33,0.5,qfq,stock_zh_a_hist,3853.8,3869.49,3870.65,3844.52,86510716,177585694368.3,0.68,0.65,25.16,0.26,index_zh_a_hist,0.006544703498398974,-0.007571152677218196,0.008546407068574569,9342.03,9377.15,9384.25,9285.31,4507488,14324826523.6,1.06,0.65,60.73,0.45,index_zh_a_hist,0.006518598345716331,-0.009237599555394937,-0.01383158738288326,2202.93,2216.78,2217.66,2194.17,110763930,196512414172.0,1.07,0.81,17.92,1.99,index_zh_a_hist,0.00814967756019036,-0.007152614488858955,0.034423544453829,144.74,-0.227476390708,58569763252.6,58184441779.98,404654990.0,401992827.0,15.17797079,14.14689586,2.9492474,1.36349766,18.53715699,4.71192607
