date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2024-10-18,7749.1,8056.44,8270.25,7713.21,21259781,58709695747.7,7.17,3.71,288.04,2.14,index_zh_a_hist
2024-10-21,8078.45,8111.22,8217.38,7955.88,17907644,50419256481.1,3.25,0.68,54.78,1.8,index_zh_a_hist
2024-10-22,8092.26,8190.1,8234.87,8077.11,14809066,41397656159.8,1.94,0.97,78.88,1.49,index_zh_a_hist
2024-10-23,8197.32,8195.93,8256.91,8124.92,15227678,42642092003.3,1.61,0.07,5.83,1.53,index_zh_a_hist
2024-10-24,8169.55,8094.56,8210.89,8078.6,14680863,41560966844.6,1.61,-1.24,-101.37,1.48,index_zh_a_hist
2024-10-25,8069.22,8200.11,8250.49,8009.59,17744389,51047037767.8,2.98,1.3,105.55,1.79,index_zh_a_hist
2024-10-28,8184.16,8284.08,8288.38,8129.77,17005512,48511363309.1,1.93,1.02,83.97,1.71,index_zh_a_hist
2024-10-29,8332.52,8123.88,8349.09,8110.66,17569762,47480595696.2,2.88,-1.93,-160.2,1.77,index_zh_a_hist
2024-10-30,8064.01,8027.55,8174.74,7963.18,14238839,41135756140.7,2.6,-1.19,-96.33,1.43,index_zh_a_hist
2024-10-31,8004.99,7986.85,8078.51,7948.46,15801747,40044590784.3,1.62,-0.51,-40.7,1.59,index_zh_a_hist
2024-11-01,7973.1,7998.62,8106.47,7951.58,16611413,40961688344.5,1.94,0.15,11.77,1.67,index_zh_a_hist
2024-11-04,8016.46,8084.44,8087.28,8002.9,13694290,34709856727.9,1.05,1.07,85.82,1.38,index_zh_a_hist
2024-11-05,8067.03,8253.45,8266.42,8011.47,20362652,52006896942.5,3.15,2.09,169.01,2.05,index_zh_a_hist
2024-11-06,8253.01,8236.38,8373.74,8189.69,19857564,54135975996.6,2.23,-0.21,-17.07,2.0,index_zh_a_hist
2024-11-07,8165.59,8502.51,8502.71,8152.62,21781838,59701148569.0,4.25,3.23,266.13,2.19,index_zh_a_hist
2024-11-08,8588.0,8455.26,8619.93,8416.11,20479565,57869881476.2,2.4,-0.56,-47.25,2.06,index_zh_a_hist
2024-11-11,8378.12,8512.6,8514.92,8313.69,18013836,51324935711.3,2.38,0.68,57.34,1.81,index_zh_a_hist
2024-11-12,8522.28,8601.49,8816.51,8522.28,27255242,76667566484.4,3.46,1.04,88.89,2.74,index_zh_a_hist
2024-11-13,8550.87,8528.86,8665.86,8449.13,17766139,47246510573.4,2.52,-0.84,-72.63,1.79,index_zh_a_hist
2024-11-14,8510.33,8308.58,8512.82,8299.89,14247557,37713339752.7,2.5,-2.58,-220.28,1.43,index_zh_a_hist
2024-11-15,8281.94,8149.77,8322.62,8149.77,12342913,33528785853.0,2.08,-1.91,-158.81,1.24,index_zh_a_hist
2024-11-18,8166.49,8061.35,8228.87,8023.82,13274328,34984366354.0,2.52,-1.08,-88.42,1.34,index_zh_a_hist
2024-11-19,8083.86,8148.0,8148.37,7985.61,11234457,28873174379.1,2.02,1.07,86.65,1.13,index_zh_a_hist
2024-11-20,8121.84,8330.05,8373.69,8118.11,14250568,40299506159.4,3.14,2.23,182.05,1.43,index_zh_a_hist
2024-11-21,8304.96,8285.96,8339.43,8232.77,10485852,28631755773.5,1.28,-0.53,-44.09,1.06,index_zh_a_hist
2024-11-22,8274.28,7954.68,8274.52,7954.68,13032604,34582435925.8,3.86,-4.0,-331.28,1.31,index_zh_a_hist
2024-11-25,7957.71,7922.86,8024.94,7846.19,10119393,27550498178.3,2.25,-0.4,-31.82,1.02,index_zh_a_hist
2024-11-26,7913.09,7935.83,8051.0,7911.6,8190623,22742185475.5,1.76,0.16,12.97,0.82,index_zh_a_hist
2024-11-27,7913.2,8077.68,8079.69,7889.08,9554215,25805802916.5,2.4,1.79,141.85,0.96,index_zh_a_hist
2024-11-28,8077.24,7995.85,8091.73,7976.48,8859330,24297756062.2,1.43,-1.01,-81.83,0.89,index_zh_a_hist
2024-11-29,8006.59,8116.17,8191.29,8001.17,11595058,32713725685.1,2.38,1.5,120.32,1.17,index_zh_a_hist
