date,close,volume,source
2023-08-08,130.49,41094.0,stock_zh_a_hist_tx
2023-08-09,132.47,53234.0,stock_zh_a_hist_tx
2023-08-10,132.53,29182.0,stock_zh_a_hist_tx
2023-08-11,129.89,32122.0,stock_zh_a_hist_tx
2023-08-14,130.95,29569.0,stock_zh_a_hist_tx
2023-08-15,130.01,18267.0,stock_zh_a_hist_tx
2023-08-16,129.49,39007.0,stock_zh_a_hist_tx
2023-08-17,133.61,57211.0,stock_zh_a_hist_tx
2023-08-18,130.63,26336.0,stock_zh_a_hist_tx
2023-08-21,128.97,22132.0,stock_zh_a_hist_tx
2023-08-22,124.04,71075.0,stock_zh_a_hist_tx
2023-08-23,122.55,35900.0,stock_zh_a_hist_tx
2023-08-24,132.39,99959.0,stock_zh_a_hist_tx
2023-08-25,129.81,48485.0,stock_zh_a_hist_tx
2023-08-28,130.02,61905.0,stock_zh_a_hist_tx
2023-08-29,131.26,51298.0,stock_zh_a_hist_tx
2023-08-30,131.66,30232.0,stock_zh_a_hist_tx
2023-08-31,130.31,21610.0,stock_zh_a_hist_tx
2023-09-01,130.64,17348.0,stock_zh_a_hist_tx
2023-09-04,132.83,36683.0,stock_zh_a_hist_tx
2023-09-05,132.32,19642.0,stock_zh_a_hist_tx
2023-09-06,130.95,28358.0,stock_zh_a_hist_tx
2023-09-07,128.71,26767.0,stock_zh_a_hist_tx
2023-09-08,128.77,16857.0,stock_zh_a_hist_tx
2023-09-11,129.58,34599.0,stock_zh_a_hist_tx
2023-09-12,129.73,34028.0,stock_zh_a_hist_tx
2023-09-13,127.98,25199.0,stock_zh_a_hist_tx
2023-09-14,127.5,18616.0,stock_zh_a_hist_tx
2023-09-15,127.81,40413.0,stock_zh_a_hist_tx
2023-09-18,128.85,26350.0,stock_zh_a_hist_tx
2023-09-19,128.28,21976.0,stock_zh_a_hist_tx
2023-09-20,127.94,19775.0,stock_zh_a_hist_tx
2023-09-21,126.28,26195.0,stock_zh_a_hist_tx
2023-09-22,128.79,33443.0,stock_zh_a_hist_tx
2023-09-25,129.84,36059.0,stock_zh_a_hist_tx
2023-09-26,129.5,19751.0,stock_zh_a_hist_tx
2023-09-27,130.39,40250.0,stock_zh_a_hist_tx
2023-09-28,131.81,44997.0,stock_zh_a_hist_tx
2023-10-09,132.43,43596.0,stock_zh_a_hist_tx
2023-10-10,131.09,30753.0,stock_zh_a_hist_tx
2023-10-11,134.12,69994.0,stock_zh_a_hist_tx
2023-10-12,134.4,31183.0,stock_zh_a_hist_tx
2023-10-13,134.34,29045.0,stock_zh_a_hist_tx
2023-10-16,135.31,56741.0,stock_zh_a_hist_tx
2023-10-17,131.94,39444.0,stock_zh_a_hist_tx
2023-10-18,128.0,33756.0,stock_zh_a_hist_tx
2023-10-19,125.6,33045.0,stock_zh_a_hist_tx
2023-10-20,122.5,34935.0,stock_zh_a_hist_tx
2023-10-23,123.44,30419.0,stock_zh_a_hist_tx
2023-10-24,132.81,94794.0,stock_zh_a_hist_tx
2023-10-25,133.73,76675.0,stock_zh_a_hist_tx
2023-10-26,135.71,47416.0,stock_zh_a_hist_tx
2023-10-27,143.45,115829.0,stock_zh_a_hist_tx
2023-10-30,147.42,106995.0,stock_zh_a_hist_tx
2023-10-31,148.43,64776.0,stock_zh_a_hist_tx
2023-11-01,149.13,51139.0,stock_zh_a_hist_tx
2023-11-02,144.69,78883.0,stock_zh_a_hist_tx
2023-11-03,143.96,44591.0,stock_zh_a_hist_tx
2023-11-06,144.79,54410.0,stock_zh_a_hist_tx
2023-11-07,145.81,48494.0,stock_zh_a_hist_tx
2023-11-08,149.4,86864.0,stock_zh_a_hist_tx
2023-11-09,149.71,51245.0,stock_zh_a_hist_tx
2023-11-10,153.24,77959.0,stock_zh_a_hist_tx
2023-11-13,150.11,51105.0,stock_zh_a_hist_tx
2023-11-14,150.31,30833.0,stock_zh_a_hist_tx
2023-11-15,151.96,39213.0,stock_zh_a_hist_tx
2023-11-16,151.3,47813.0,stock_zh_a_hist_tx
2023-11-17,150.98,27763.0,stock_zh_a_hist_tx
2023-11-20,154.14,53165.0,stock_zh_a_hist_tx
2023-11-21,154.38,34262.0,stock_zh_a_hist_tx
2023-11-22,151.06,34120.0,stock_zh_a_hist_tx
2023-11-23,149.34,43249.0,stock_zh_a_hist_tx
2023-11-24,150.66,34889.0,stock_zh_a_hist_tx
2023-11-27,146.8,56209.0,stock_zh_a_hist_tx
2023-11-28,156.49,77412.0,stock_zh_a_hist_tx
2023-11-29,155.1,41609.0,stock_zh_a_hist_tx
2023-11-30,153.7,33864.0,stock_zh_a_hist_tx
2023-12-01,151.7,36322.0,stock_zh_a_hist_tx
2023-12-04,146.73,57922.0,stock_zh_a_hist_tx
2023-12-05,145.64,40323.0,stock_zh_a_hist_tx
2023-12-06,145.53,36078.0,stock_zh_a_hist_tx
2023-12-07,143.19,44605.0,stock_zh_a_hist_tx
2023-12-08,144.17,52402.0,stock_zh_a_hist_tx
2023-12-11,142.9,50130.0,stock_zh_a_hist_tx
2023-12-12,140.79,41115.0,stock_zh_a_hist_tx
2023-12-13,137.58,44387.0,stock_zh_a_hist_tx
2023-12-14,136.17,33247.0,stock_zh_a_hist_tx
2023-12-15,134.36,34837.0,stock_zh_a_hist_tx
2023-12-18,134.44,31535.0,stock_zh_a_hist_tx
2023-12-19,133.53,23591.0,stock_zh_a_hist_tx
2023-12-20,131.49,21983.0,stock_zh_a_hist_tx
2023-12-21,133.49,30900.0,stock_zh_a_hist_tx
2023-12-22,133.61,28573.0,stock_zh_a_hist_tx
2023-12-25,136.56,33192.0,stock_zh_a_hist_tx
2023-12-26,134.76,23389.0,stock_zh_a_hist_tx
2023-12-27,134.94,25031.0,stock_zh_a_hist_tx
2023-12-28,139.66,46047.0,stock_zh_a_hist_tx
2023-12-29,138.61,32546.0,stock_zh_a_hist_tx
2024-01-02,138.24,38677.0,stock_zh_a_hist_tx
2024-01-03,137.32,27446.0,stock_zh_a_hist_tx
2024-01-04,138.13,37822.0,stock_zh_a_hist_tx
2024-01-05,132.63,41902.0,stock_zh_a_hist_tx
2024-01-08,130.45,25301.0,stock_zh_a_hist_tx
2024-01-09,131.1,30148.0,stock_zh_a_hist_tx
2024-01-10,130.76,21896.0,stock_zh_a_hist_tx
2024-01-11,126.22,76910.0,stock_zh_a_hist_tx
2024-01-12,117.81,219500.0,stock_zh_a_hist_tx
2024-01-15,115.44,108891.0,stock_zh_a_hist_tx
2024-01-16,116.84,82649.0,stock_zh_a_hist_tx
2024-01-17,115.87,74667.0,stock_zh_a_hist_tx
2024-01-18,118.28,74637.0,stock_zh_a_hist_tx
2024-01-19,116.63,45283.0,stock_zh_a_hist_tx
2024-01-22,114.54,55195.0,stock_zh_a_hist_tx
2024-01-23,114.54,43523.0,stock_zh_a_hist_tx
2024-01-24,116.16,71505.0,stock_zh_a_hist_tx
2024-01-25,116.83,68653.0,stock_zh_a_hist_tx
2024-01-26,114.84,46708.0,stock_zh_a_hist_tx
2024-01-29,114.55,41560.0,stock_zh_a_hist_tx
2024-01-30,110.25,40706.0,stock_zh_a_hist_tx
